window_p,strategy,role,n,hit_count,rate_pct,edge_pp,ci_lo,ci_hi,roi_pct,z,watchdog_breach
3000,acb_1bet,baseline,3000,395,13.1667,1.7667,12.0,14.4,-78.8667,3.0447,0
3000,midfreq_acb_2bet,shadow,3000,743,24.7667,3.2267,23.1667,26.3333,-78.9,4.299,0
3000,acb_markov_midfreq_3bet,active,3000,1050,35.0,4.5,33.3333,36.7,-78.9333,5.3534,0
4000,acb_1bet,baseline,4000,507,12.675,1.275,11.65,13.725,-78.25,2.5373,0
4000,midfreq_acb_2bet,shadow,4000,966,24.15,2.61,22.8,25.5006,-79.0,4.0154,0
4000,acb_markov_midfreq_3bet,active,4000,1371,34.275,3.775,32.8,35.7256,-79.4667,5.1857,0
5000,acb_1bet,baseline,5000,620,12.4,1.0,11.46,13.32,-79.34,2.2249,0
5000,midfreq_acb_2bet,shadow,5000,1189,23.78,2.24,22.66,25.0205,-80.06,3.8529,0
5000,acb_markov_midfreq_3bet,active,5000,1709,34.18,3.68,32.8995,35.54,-80.02,5.6518,0
