context_size,context_adapters,candidate_adapter,prior_any_hit_count,candidate_total_hit_count,candidate_overlap_count,marginal_unique_hit_count,with_candidate_any_hit_count,marginal_coverage_rate_delta,candidate_marginal_share,fixture_sha256
2,adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_phase2_3bet,adapt_biglotto_p0_2bet,96,73,10,63,159,0.03891291,0.86301370,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
2,adapt_predict_biglotto_echo_phase2_3bet;adapt_predict_biglotto_echo_mixed_3bet,adapt_biglotto_p0_2bet,108,73,10,63,171,0.03891291,0.86301370,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
2,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_mixed_3bet,adapt_predict_biglotto_echo_2bet,168,71,71,0,168,0.00000000,0.00000000,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
2,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_phase2_2bet,adapt_predict_biglotto_echo_2bet,130,71,64,7,137,0.00432366,0.09859155,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
2,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_phase2_3bet,adapt_predict_biglotto_echo_2bet,159,71,64,7,166,0.00432366,0.09859155,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
2,adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_mixed_3bet,adapt_predict_biglotto_echo_2bet,107,71,71,0,107,0.00000000,0.00000000,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
2,adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_phase2_3bet,adapt_predict_biglotto_echo_2bet,96,71,64,7,103,0.00432366,0.09859155,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
2,adapt_predict_biglotto_echo_phase2_3bet;adapt_predict_biglotto_echo_mixed_3bet,adapt_predict_biglotto_echo_2bet,108,71,71,0,108,0.00000000,0.00000000,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
2,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_2bet,adapt_predict_biglotto_echo_mixed_3bet,135,104,71,33,168,0.02038295,0.31730769,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
2,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_phase2_2bet,adapt_predict_biglotto_echo_mixed_3bet,130,104,64,40,170,0.02470661,0.38461538,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
2,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_phase2_3bet,adapt_predict_biglotto_echo_mixed_3bet,159,104,92,12,171,0.00741198,0.11538462,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
2,adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_2bet,adapt_predict_biglotto_echo_mixed_3bet,74,104,71,33,107,0.02038295,0.31730769,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
2,adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_3bet,adapt_predict_biglotto_echo_mixed_3bet,103,104,99,5,108,0.00308833,0.04807692,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
2,adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_phase2_3bet,adapt_predict_biglotto_echo_mixed_3bet,96,104,92,12,108,0.00741198,0.11538462,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
2,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_2bet,adapt_predict_biglotto_echo_phase2_2bet,135,67,65,2,137,0.00123533,0.02985075,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
2,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_mixed_3bet,adapt_predict_biglotto_echo_phase2_2bet,168,67,65,2,170,0.00123533,0.02985075,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
2,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_phase2_3bet,adapt_predict_biglotto_echo_phase2_2bet,159,67,67,0,159,0.00000000,0.00000000,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
2,adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_mixed_3bet,adapt_predict_biglotto_echo_phase2_2bet,104,67,64,3,107,0.00185300,0.04477612,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
2,adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_3bet,adapt_predict_biglotto_echo_phase2_2bet,103,67,67,0,103,0.00000000,0.00000000,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
2,adapt_predict_biglotto_echo_phase2_3bet;adapt_predict_biglotto_echo_mixed_3bet,adapt_predict_biglotto_echo_phase2_2bet,108,67,67,0,108,0.00000000,0.00000000,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
2,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_2bet,adapt_predict_biglotto_echo_phase2_3bet,135,96,65,31,166,0.01914762,0.32291667,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
2,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_mixed_3bet,adapt_predict_biglotto_echo_phase2_3bet,168,96,93,3,171,0.00185300,0.03125000,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
2,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_phase2_2bet,adapt_predict_biglotto_echo_phase2_3bet,130,96,67,29,159,0.01791229,0.30208333,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
2,adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_mixed_3bet,adapt_predict_biglotto_echo_phase2_3bet,104,96,92,4,108,0.00247066,0.04166667,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
2,adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_2bet,adapt_predict_biglotto_echo_phase2_3bet,74,96,67,29,103,0.01791229,0.30208333,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
2,adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_mixed_3bet,adapt_predict_biglotto_echo_phase2_3bet,107,96,95,1,108,0.00061767,0.01041667,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
3,adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_mixed_3bet,adapt_biglotto_p0_2bet,107,73,10,63,170,0.03891291,0.86301370,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
3,adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_phase2_3bet,adapt_biglotto_p0_2bet,103,73,10,63,166,0.03891291,0.86301370,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
3,adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_3bet;adapt_predict_biglotto_echo_mixed_3bet,adapt_biglotto_p0_2bet,108,73,10,63,171,0.03891291,0.86301370,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
3,adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_phase2_3bet;adapt_predict_biglotto_echo_mixed_3bet,adapt_biglotto_p0_2bet,108,73,10,63,171,0.03891291,0.86301370,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
3,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_mixed_3bet,adapt_predict_biglotto_echo_2bet,170,71,71,0,170,0.00000000,0.00000000,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
3,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_phase2_3bet,adapt_predict_biglotto_echo_2bet,159,71,64,7,166,0.00432366,0.09859155,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
3,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_phase2_3bet;adapt_predict_biglotto_echo_mixed_3bet,adapt_predict_biglotto_echo_2bet,171,71,71,0,171,0.00000000,0.00000000,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
3,adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_phase2_3bet;adapt_predict_biglotto_echo_mixed_3bet,adapt_predict_biglotto_echo_2bet,108,71,71,0,108,0.00000000,0.00000000,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
3,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_2bet,adapt_predict_biglotto_echo_mixed_3bet,137,104,71,33,170,0.02038295,0.31730769,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
3,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_3bet,adapt_predict_biglotto_echo_mixed_3bet,166,104,99,5,171,0.00308833,0.04807692,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
3,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_phase2_3bet,adapt_predict_biglotto_echo_mixed_3bet,159,104,92,12,171,0.00741198,0.11538462,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
3,adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_phase2_3bet,adapt_predict_biglotto_echo_mixed_3bet,103,104,99,5,108,0.00308833,0.04807692,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
3,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_mixed_3bet,adapt_predict_biglotto_echo_phase2_2bet,168,67,65,2,170,0.00123533,0.02985075,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
3,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_3bet,adapt_predict_biglotto_echo_phase2_2bet,166,67,67,0,166,0.00000000,0.00000000,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
