hook_name,status,ingest_call_site_line,ingest_call_site_evidence,import_statement_line,import_statement_evidence,import_kind,import_module,imported_symbol,local_symbol,alias_mapping,candidate_module_path,candidate_source_file_path,candidate_source_exists,checked_source_paths,target_definition_status,target_definition_line,target_definition_ast_node_type,target_definition_evidence,reexport_chain,reason
learning_integrator,PROBABLE,188,apply_learning(dry_run=False),187,from engine.learning_integrator import apply_all_types as apply_learning,ImportFrom,engine.learning_integrator,apply_all_types,apply_learning,apply_all_types as apply_learning,engine.learning_integrator,,False,engine/learning_integrator.py;engine/learning_integrator/__init__.py;lottery_api/engine/learning_integrator.py;lottery_api/engine/learning_integrator/__init__.py,SOURCE_PATH_UNRESOLVED,,,,,"direct live ingest import/call pair found, but target source path was not found by static module-to-file mapping; runtime import not attempted"
refresh_hedge_fund_outputs,PROBABLE,173,refresh_hedge_fund_outputs(project_root),172,from analysis.payout.sync import refresh_hedge_fund_outputs,ImportFrom,analysis.payout.sync,refresh_hedge_fund_outputs,refresh_hedge_fund_outputs,,analysis.payout.sync,,False,analysis/payout/sync.py;analysis/payout/sync/__init__.py;lottery_api/analysis/payout/sync.py;lottery_api/analysis/payout/sync/__init__.py,SOURCE_PATH_UNRESOLVED,,,,,"direct live ingest import/call pair found, but target source path was not found by static module-to-file mapping; runtime import not attempted"
weight_adjuster,PROBABLE,179,adjust_all_types(dry_run=False),178,from engine.weight_adjuster import adjust_all_types,ImportFrom,engine.weight_adjuster,adjust_all_types,adjust_all_types,,engine.weight_adjuster,,False,engine/weight_adjuster.py;engine/weight_adjuster/__init__.py;lottery_api/engine/weight_adjuster.py;lottery_api/engine/weight_adjuster/__init__.py,SOURCE_PATH_UNRESOLVED,,,,,"direct live ingest import/call pair found, but target source path was not found by static module-to-file mapping; runtime import not attempted"
