row_type,window_size,subset_size,adapter_subset,total_ticket_count,any_hit_count,full_cohort_any_hit_count,hit_gap_to_full_cohort,coverage_rate,duplicate_hit_events,mean_pairwise_jaccard,within_1_hit_of_full_cohort,within_3_hits_of_full_cohort,note,fixture_sha256
best_subset_for_size,750,5,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_phase2_3bet;adapt_predict_biglotto_echo_mixed_3bet,12,86,86,0,0.11466667,125,0.48977412,true,true,Best historical coverage among subsets of size 5.,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
smallest_within_1_hit_of_full_cohort,750,2,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_mixed_3bet,5,85,86,1,0.11333333,3,0.03529412,true,true,Smallest subset within 1 any-hit period(s) of the full cohort.,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
smallest_within_3_hit_of_full_cohort,750,2,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_mixed_3bet,5,85,86,1,0.11333333,3,0.03529412,true,true,Smallest subset within 3 any-hit period(s) of the full cohort.,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
p361_compact_pair_check,750,2,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_mixed_3bet,5,85,86,1,0.11333333,3,0.03529412,true,true,P361 compact pair remains within 3 hits of full cohort.,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
best_subset_for_size,1500,1,adapt_predict_biglotto_echo_mixed_3bet,3,97,160,63,0.06466667,0,,false,false,Best historical coverage among subsets of size 1.,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
best_subset_for_size,1500,2,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_mixed_3bet,5,158,160,2,0.10533333,8,0.05063291,false,true,Best historical coverage among subsets of size 2.,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
best_subset_for_size,1500,3,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_phase2_3bet;adapt_predict_biglotto_echo_mixed_3bet,8,160,160,0,0.10666667,94,0.32048124,true,true,Best historical coverage among subsets of size 3.,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
best_subset_for_size,1500,4,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_phase2_3bet;adapt_predict_biglotto_echo_mixed_3bet,10,160,160,0,0.10666667,156,0.39097005,true,true,Best historical coverage among subsets of size 4.,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
best_subset_for_size,1500,5,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_phase2_3bet;adapt_predict_biglotto_echo_mixed_3bet,12,160,160,0,0.10666667,223,0.46001861,true,true,Best historical coverage among subsets of size 5.,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
smallest_within_1_hit_of_full_cohort,1500,3,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_phase2_3bet;adapt_predict_biglotto_echo_mixed_3bet,8,160,160,0,0.10666667,94,0.32048124,true,true,Smallest subset within 1 any-hit period(s) of the full cohort.,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
smallest_within_3_hit_of_full_cohort,1500,2,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_mixed_3bet,5,158,160,2,0.10533333,8,0.05063291,false,true,Smallest subset within 3 any-hit period(s) of the full cohort.,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
p361_compact_pair_check,1500,2,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_mixed_3bet,5,158,160,2,0.10533333,8,0.05063291,false,true,P361 compact pair remains within 3 hits of full cohort.,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
