strategy_id,lineage_id,current_status,bet_count,window,total_periods,hit_count,hit_rate,baseline,edge,replay_status,notes
fourier30_markov30_biglotto,fourier30_markov30_biglotto__current,REJECTED,2,750,750,23,0.030666666666666665,0.036927731920342155,-0.00626106525367549,COMPLETED,M3+ coverage replay; history is draws strictly before target; special number not evaluated.
fourier30_markov30_biglotto,fourier30_markov30_biglotto__current,REJECTED,2,1500,1500,50,0.03333333333333333,0.036927731920342155,-0.003594398587008822,COMPLETED,M3+ coverage replay; history is draws strictly before target; special number not evaluated.
markov_2bet_biglotto,markov_2bet_biglotto__current,REJECTED,2,30,30,0,0.0,0.036927731920342155,-0.036927731920342155,COMPLETED,M3+ coverage replay; history is draws strictly before target; special number not evaluated.
markov_2bet_biglotto,markov_2bet_biglotto__current,REJECTED,2,150,150,4,0.02666666666666667,0.036927731920342155,-0.010261065253675487,COMPLETED,M3+ coverage replay; history is draws strictly before target; special number not evaluated.
markov_2bet_biglotto,markov_2bet_biglotto__current,REJECTED,2,750,750,21,0.028,0.036927731920342155,-0.008927731920342154,COMPLETED,M3+ coverage replay; history is draws strictly before target; special number not evaluated.
markov_2bet_biglotto,markov_2bet_biglotto__current,REJECTED,2,1500,1500,46,0.030666666666666665,0.036927731920342155,-0.00626106525367549,COMPLETED,M3+ coverage replay; history is draws strictly before target; special number not evaluated.
markov_single_biglotto,markov_single_biglotto__current,REJECTED,1,30,30,1,0.03333333333333333,0.018637545002022304,0.014695788331311029,COMPLETED,M3+ coverage replay; history is draws strictly before target; special number not evaluated.
markov_single_biglotto,markov_single_biglotto__current,REJECTED,1,150,150,2,0.013333333333333334,0.018637545002022304,-0.00530421166868897,COMPLETED,M3+ coverage replay; history is draws strictly before target; special number not evaluated.
markov_single_biglotto,markov_single_biglotto__current,REJECTED,1,750,750,11,0.014666666666666666,0.018637545002022304,-0.003970878335355638,COMPLETED,M3+ coverage replay; history is draws strictly before target; special number not evaluated.
markov_single_biglotto,markov_single_biglotto__current,REJECTED,1,1500,1500,24,0.016,0.018637545002022304,-0.002637545002022304,COMPLETED,M3+ coverage replay; history is draws strictly before target; special number not evaluated.
ts3_regime_3bet,ts3_regime_3bet__current,ONLINE,3,30,30,1,0.03333333333333333,0.054877034656876544,-0.02154370132354321,COMPLETED,M3+ coverage replay; history is draws strictly before target; special number not evaluated.
ts3_regime_3bet,ts3_regime_3bet__current,ONLINE,3,150,150,9,0.06,0.054877034656876544,0.005122965343123453,COMPLETED,M3+ coverage replay; history is draws strictly before target; special number not evaluated.
ts3_regime_3bet,ts3_regime_3bet__current,ONLINE,3,750,750,52,0.06933333333333333,0.054877034656876544,0.014456298676456786,COMPLETED,M3+ coverage replay; history is draws strictly before target; special number not evaluated.
ts3_regime_3bet,ts3_regime_3bet__current,ONLINE,3,1500,1500,101,0.06733333333333333,0.054877034656876544,0.012456298676456784,COMPLETED,M3+ coverage replay; history is draws strictly before target; special number not evaluated.
