lottery_type,window,combination_size,strategy_ids,ticket_budget_m,rows_per_draw,ticket_budget_ratio_vs_min,ticket_budget_ratio_vs_median,sample_size_rows,cross_strategy_ticket_pair_count,any_number_overlap_pair_rate,mean_number_overlap_fraction,random_pair_overlap_fraction,exact_duplicate_ticket_pair_rate,delta_vs_max_constituent_hit1_rate,delta_vs_max_constituent_hit2_rate,delta_vs_max_constituent_hit3_rate,budget_inflation_flag,high_overlap_vs_random_flag
BIG_LOTTO,recent_50,1,ts3_regime_3bet,1,1.000000,1.000000,0.333333,50,0,,,0.122448979592,,0.000000000000,0.000000000000,0.000000000000,N,
BIG_LOTTO,recent_300,1,ts3_regime_3bet,1,1.000000,1.000000,0.333333,300,0,,,0.122448979592,,0.000000000000,0.000000000000,0.000000000000,N,
BIG_LOTTO,recent_750,1,ts3_regime_3bet,1,1.000000,1.000000,0.333333,750,0,,,0.122448979592,,0.000000000000,0.000000000000,0.000000000000,N,
BIG_LOTTO,recent_50,2,bet2_fourier_expansion_biglotto|biglotto_deviation_2bet,2,2.000000,2.000000,0.666667,100,50,0.640000000000,0.146666666667,0.122448979592,0.000000000000,0.260000000000,0.040000000000,0.020000000000,N,Y
BIG_LOTTO,recent_300,2,bet2_fourier_expansion_biglotto|biglotto_deviation_2bet,2,2.000000,2.000000,0.666667,600,300,0.600000000000,0.131666666667,0.122448979592,0.000000000000,0.246666666667,0.100000000000,0.016666666666,N,Y
BIG_LOTTO,recent_750,2,bet2_fourier_expansion_biglotto|biglotto_deviation_2bet,2,2.000000,2.000000,0.666667,1500,750,0.608000000000,0.134222222222,0.122448979592,0.000000000000,0.241333333333,0.108000000000,0.025333333333,N,Y
BIG_LOTTO,recent_50,2,bet2_fourier_expansion_biglotto|biglotto_echo_aware_3bet,4,4.000000,4.000000,1.333333,200,150,0.473333333333,0.094444444444,0.122448979592,0.000000000000,0.020000000000,0.160000000000,0.060000000000,Y,N
BIG_LOTTO,recent_300,2,bet2_fourier_expansion_biglotto|biglotto_echo_aware_3bet,4,4.000000,4.000000,1.333333,1200,900,0.472222222222,0.101851851852,0.122448979592,0.000000000000,0.040000000000,0.093333333333,0.026666666667,Y,N
BIG_LOTTO,recent_750,2,bet2_fourier_expansion_biglotto|biglotto_echo_aware_3bet,4,4.000000,4.000000,1.333333,3000,2250,0.460444444444,0.099111111111,0.122448979592,0.000000000000,0.028000000000,0.085333333333,0.025333333334,Y,N
BIG_LOTTO,recent_50,2,bet2_fourier_expansion_biglotto|biglotto_triple_strike,2,2.000000,2.000000,0.666667,100,50,1.000000000000,1.000000000000,0.122448979592,1.000000000000,0.000000000000,0.000000000000,0.000000000000,N,Y
BIG_LOTTO,recent_300,2,bet2_fourier_expansion_biglotto|biglotto_triple_strike,2,2.000000,2.000000,0.666667,600,300,1.000000000000,0.988333333333,0.122448979592,0.933333333333,0.000000000000,0.003333333334,0.000000000000,N,Y
BIG_LOTTO,recent_750,2,bet2_fourier_expansion_biglotto|biglotto_triple_strike,2,2.000000,2.000000,0.666667,1500,750,1.000000000000,0.964666666667,0.122448979592,0.796000000000,0.008000000000,0.006666666667,0.000000000000,N,Y
BIG_LOTTO,recent_50,2,bet2_fourier_expansion_biglotto|biglotto_ts3_markov_4bet_w30,5,5.000000,5.000000,1.666667,250,200,0.250000000000,0.250000000000,0.122448979592,0.250000000000,0.000000000000,0.000000000000,0.000000000000,Y,Y
BIG_LOTTO,recent_300,2,bet2_fourier_expansion_biglotto|biglotto_ts3_markov_4bet_w30,5,5.000000,5.000000,1.666667,1500,1200,0.259166666667,0.248750000000,0.122448979592,0.233333333333,0.000000000000,0.003333333334,0.000000000000,Y,Y
BIG_LOTTO,recent_750,2,bet2_fourier_expansion_biglotto|biglotto_ts3_markov_4bet_w30,5,5.000000,5.000000,1.666667,3750,3000,0.277333333333,0.245888888889,0.122448979592,0.199000000000,0.000000000000,0.006666666666,0.004000000000,Y,Y
BIG_LOTTO,recent_50,2,bet2_fourier_expansion_biglotto|cold_complement_biglotto,2,2.000000,2.000000,0.666667,100,50,0.560000000000,0.110000000000,0.122448979592,0.000000000000,0.200000000000,0.100000000000,0.040000000000,N,N
BIG_LOTTO,recent_300,2,bet2_fourier_expansion_biglotto|cold_complement_biglotto,2,2.000000,2.000000,0.666667,600,300,0.533333333333,0.110000000000,0.122448979592,0.000000000000,0.236666666667,0.110000000000,0.023333333333,N,N
