classification,lottery_type,strategy_ids,combination_size,window,latest_target_draw,earliest_target_draw,sample_size_draws,sample_size_rows,top_k_by_strategy,predicted_number_count,hit_at_least_1_rate,hit_at_least_2_rate,hit_at_least_3_rate,hit_at_least_4_rate,max_hit_count_0_draws,max_hit_count_1_draws,max_hit_count_2_draws,max_hit_count_3_draws,max_hit_count_4_draws,max_hit_count_5_draws,max_hit_count_6_draws,cross_strategy_ticket_pair_count,any_number_overlap_pair_rate,mean_number_overlap_fraction,exact_duplicate_ticket_pair_rate,special_zone_status,special_hit_any_rate,baseline_mode,inferential_status,readiness_status,exclusion_reason,delta_vs_max_constituent_hit1_rate,delta_vs_max_constituent_hit2_rate,delta_vs_max_constituent_hit3_rate,delta_vs_max_constituent_hit4_rate,selection_rule
DESCRIPTIVE_ONLY,BIG_LOTTO,biglotto_echo_aware_3bet|biglotto_ts3_markov_4bet_w30,2,recent_300,115000053,112000106,300,2100,biglotto_echo_aware_3bet:3|biglotto_ts3_markov_4bet_w30:4,6,1.000000000000,0.676666666667,0.170000000000,0.013333333333,0,97,152,47,4,0,0,3600,0.488333333333,0.124953703704,0.000000000000,BIG_SPECIAL_ACTUAL_AVAILABLE_PLAYER_MAIN_MATCH_EVALUATED,0.646666666667,not_computed,DESCRIPTIVE_ONLY,READY_DESCRIPTIVE_ONLY,,0.010000000000,0.203333333334,0.083333333333,0.006666666666,DESCRIPTIVE_TOP5_BY_HIT3_THEN_HIT2_THEN_LOWER_OVERLAP
DESCRIPTIVE_ONLY,BIG_LOTTO,biglotto_echo_aware_3bet|biglotto_triple_strike,2,recent_300,115000053,112000106,300,1200,biglotto_echo_aware_3bet:3|biglotto_triple_strike:1,6,0.980000000000,0.496666666667,0.110000000000,0.006666666667,6,145,116,31,2,0,0,900,0.470000000000,0.101851851852,0.000000000000,BIG_SPECIAL_ACTUAL_AVAILABLE_PLAYER_MAIN_MATCH_EVALUATED,0.443333333333,not_computed,DESCRIPTIVE_ONLY,READY_DESCRIPTIVE_ONLY,,0.040000000000,0.096666666667,0.026666666667,0.000000000000,DESCRIPTIVE_TOP5_BY_HIT3_THEN_HIT2_THEN_LOWER_OVERLAP
DESCRIPTIVE_ONLY,BIG_LOTTO,biglotto_echo_aware_3bet|ts3_regime_3bet,2,recent_300,115000053,112000106,300,1200,biglotto_echo_aware_3bet:3|ts3_regime_3bet:1,6,0.980000000000,0.496666666667,0.110000000000,0.006666666667,6,145,116,31,2,0,0,900,0.470000000000,0.101851851852,0.000000000000,BIG_SPECIAL_ACTUAL_AVAILABLE_PLAYER_MAIN_MATCH_EVALUATED,0.443333333333,not_computed,DESCRIPTIVE_ONLY,READY_DESCRIPTIVE_ONLY,,0.040000000000,0.096666666667,0.026666666667,0.000000000000,DESCRIPTIVE_TOP5_BY_HIT3_THEN_HIT2_THEN_LOWER_OVERLAP
DESCRIPTIVE_ONLY,BIG_LOTTO,bet2_fourier_expansion_biglotto|biglotto_echo_aware_3bet,2,recent_300,115000053,112000106,300,1200,bet2_fourier_expansion_biglotto:1|biglotto_echo_aware_3bet:3,6,0.980000000000,0.493333333333,0.110000000000,0.010000000000,6,146,115,30,3,0,0,900,0.472222222222,0.101851851852,0.000000000000,BIG_SPECIAL_ACTUAL_AVAILABLE_PLAYER_MAIN_MATCH_EVALUATED,0.443333333333,not_computed,DESCRIPTIVE_ONLY,READY_DESCRIPTIVE_ONLY,,0.040000000000,0.093333333333,0.026666666667,0.003333333333,DESCRIPTIVE_TOP5_BY_HIT3_THEN_HIT2_THEN_LOWER_OVERLAP
DESCRIPTIVE_ONLY,BIG_LOTTO,biglotto_echo_aware_3bet|cold_complement_biglotto,2,recent_300,115000053,112000106,300,1200,biglotto_echo_aware_3bet:3|cold_complement_biglotto:1,6,0.970000000000,0.503333333333,0.106666666667,0.006666666667,9,140,119,30,2,0,0,900,0.496666666667,0.137222222222,0.000000000000,BIG_SPECIAL_ACTUAL_AVAILABLE_PLAYER_MAIN_MATCH_EVALUATED,0.406666666667,not_computed,DESCRIPTIVE_ONLY,READY_DESCRIPTIVE_ONLY,,0.030000000000,0.103333333333,0.023333333334,0.000000000000,DESCRIPTIVE_TOP5_BY_HIT3_THEN_HIT2_THEN_LOWER_OVERLAP
DESCRIPTIVE_ONLY,BIG_LOTTO,biglotto_deviation_2bet|biglotto_echo_aware_3bet|biglotto_ts3_markov_4bet_w30,3,recent_300,115000053,112000106,300,2400,biglotto_deviation_2bet:1|biglotto_echo_aware_3bet:3|biglotto_ts3_markov_4bet_w30:4,6,1.000000000000,0.716666666667,0.183333333333,0.013333333333,0,85,160,51,4,0,0,5700,0.500526315789,0.144298245614,0.000000000000,BIG_SPECIAL_ACTUAL_AVAILABLE_PLAYER_MAIN_MATCH_EVALUATED,0.660000000000,not_computed,DESCRIPTIVE_ONLY,READY_DESCRIPTIVE_ONLY,,0.010000000000,0.243333333334,0.096666666666,0.006666666666,DESCRIPTIVE_TOP5_BY_HIT3_THEN_HIT2_THEN_LOWER_OVERLAP
DESCRIPTIVE_ONLY,BIG_LOTTO,biglotto_echo_aware_3bet|biglotto_ts3_markov_4bet_w30|cold_complement_biglotto,3,recent_300,115000053,112000106,300,2400,biglotto_echo_aware_3bet:3|biglotto_ts3_markov_4bet_w30:4|cold_complement_biglotto:1,6,1.000000000000,0.693333333333,0.183333333333,0.013333333333,0,92,153,51,4,0,0,5700,0.485263157895,0.149327485380,0.004736842105,BIG_SPECIAL_ACTUAL_AVAILABLE_PLAYER_MAIN_MATCH_EVALUATED,0.650000000000,not_computed,DESCRIPTIVE_ONLY,READY_DESCRIPTIVE_ONLY,,0.010000000000,0.220000000000,0.096666666666,0.006666666666,DESCRIPTIVE_TOP5_BY_HIT3_THEN_HIT2_THEN_LOWER_OVERLAP
DESCRIPTIVE_ONLY,BIG_LOTTO,biglotto_echo_aware_3bet|biglotto_ts3_markov_4bet_w30|coldpool15_biglotto,3,recent_300,115000053,112000106,300,2400,biglotto_echo_aware_3bet:3|biglotto_ts3_markov_4bet_w30:4|coldpool15_biglotto:1,6,1.000000000000,0.693333333333,0.183333333333,0.013333333333,0,92,153,51,4,0,0,5700,0.485263157895,0.149327485380,0.004736842105,BIG_SPECIAL_ACTUAL_AVAILABLE_PLAYER_MAIN_MATCH_EVALUATED,0.650000000000,not_computed,DESCRIPTIVE_ONLY,READY_DESCRIPTIVE_ONLY,,0.010000000000,0.220000000000,0.096666666666,0.006666666666,DESCRIPTIVE_TOP5_BY_HIT3_THEN_HIT2_THEN_LOWER_OVERLAP
DESCRIPTIVE_ONLY,BIG_LOTTO,biglotto_echo_aware_3bet|biglotto_ts3_markov_4bet_w30|markov_2bet_biglotto,3,recent_300,115000053,112000106,300,2400,biglotto_echo_aware_3bet:3|biglotto_ts3_markov_4bet_w30:4|markov_2bet_biglotto:1,6,1.000000000000,0.700000000000,0.180000000000,0.013333333333,0,90,156,50,4,0,0,5700,0.512982456140,0.140438596491,0.000000000000,BIG_SPECIAL_ACTUAL_AVAILABLE_PLAYER_MAIN_MATCH_EVALUATED,0.670000000000,not_computed,DESCRIPTIVE_ONLY,READY_DESCRIPTIVE_ONLY,,0.010000000000,0.226666666667,0.093333333333,0.006666666666,DESCRIPTIVE_TOP5_BY_HIT3_THEN_HIT2_THEN_LOWER_OVERLAP
DESCRIPTIVE_ONLY,BIG_LOTTO,biglotto_echo_aware_3bet|biglotto_ts3_markov_4bet_w30|markov_single_biglotto,3,recent_300,115000053,112000106,300,2400,biglotto_echo_aware_3bet:3|biglotto_ts3_markov_4bet_w30:4|markov_single_biglotto:1,6,1.000000000000,0.700000000000,0.180000000000,0.013333333333,0,90,156,50,4,0,0,5700,0.512982456140,0.140438596491,0.000000000000,BIG_SPECIAL_ACTUAL_AVAILABLE_PLAYER_MAIN_MATCH_EVALUATED,0.670000000000,not_computed,DESCRIPTIVE_ONLY,READY_DESCRIPTIVE_ONLY,,0.010000000000,0.226666666667,0.093333333333,0.006666666666,DESCRIPTIVE_TOP5_BY_HIT3_THEN_HIT2_THEN_LOWER_OVERLAP
