classification,lottery_type,strategy_ids,combination_size,window,latest_target_draw,earliest_target_draw,sample_size_draws,sample_size_rows,top_k_by_strategy,predicted_number_count,hit_at_least_1_rate,hit_at_least_2_rate,hit_at_least_3_rate,hit_at_least_4_rate,max_hit_count_0_draws,max_hit_count_1_draws,max_hit_count_2_draws,max_hit_count_3_draws,max_hit_count_4_draws,max_hit_count_5_draws,max_hit_count_6_draws,cross_strategy_ticket_pair_count,any_number_overlap_pair_rate,mean_number_overlap_fraction,exact_duplicate_ticket_pair_rate,special_zone_status,special_hit_any_rate,baseline_mode,inferential_status,readiness_status,exclusion_reason,delta_vs_max_constituent_hit1_rate,delta_vs_max_constituent_hit2_rate,delta_vs_max_constituent_hit3_rate,delta_vs_max_constituent_hit4_rate
DESCRIPTIVE_ONLY,BIG_LOTTO,biglotto_triple_strike,1,recent_300,115000053,112000106,300,300,biglotto_triple_strike:1,6,0.566666666667,0.120000000000,0.026666666667,0.000000000000,130,134,28,8,0,0,0,0,,,,BIG_SPECIAL_ACTUAL_AVAILABLE_PLAYER_MAIN_MATCH_EVALUATED,0.123333333333,not_computed,DESCRIPTIVE_ONLY,READY_DESCRIPTIVE_ONLY,,0.000000000000,0.000000000000,0.000000000000,0.000000000000
DESCRIPTIVE_ONLY,BIG_LOTTO,biglotto_triple_strike,1,recent_750,115000053,108000108,750,750,biglotto_triple_strike:1,6,0.554666666667,0.133333333333,0.021333333333,0.001333333333,334,316,84,15,1,0,0,0,,,,BIG_SPECIAL_ACTUAL_AVAILABLE_PLAYER_MAIN_MATCH_EVALUATED,0.122666666667,not_computed,DESCRIPTIVE_ONLY,READY_DESCRIPTIVE_ONLY,,0.000000000000,0.000000000000,0.000000000000,0.000000000000
DESCRIPTIVE_ONLY,BIG_LOTTO,biglotto_ts3_markov_4bet_w30,1,recent_50,115000053,115000004,50,200,biglotto_ts3_markov_4bet_w30:4,6,1.000000000000,0.520000000000,0.080000000000,0.000000000000,0,24,22,4,0,0,0,0,,,,BIG_SPECIAL_ACTUAL_AVAILABLE_PLAYER_MAIN_MATCH_EVALUATED,0.500000000000,not_computed,DESCRIPTIVE_ONLY,READY_DESCRIPTIVE_ONLY,,0.000000000000,0.000000000000,0.000000000000,0.000000000000
DESCRIPTIVE_ONLY,BIG_LOTTO,biglotto_ts3_markov_4bet_w30,1,recent_300,115000053,112000106,300,1200,biglotto_ts3_markov_4bet_w30:4,6,0.990000000000,0.473333333333,0.086666666667,0.006666666667,3,155,116,24,2,0,0,0,,,,BIG_SPECIAL_ACTUAL_AVAILABLE_PLAYER_MAIN_MATCH_EVALUATED,0.470000000000,not_computed,DESCRIPTIVE_ONLY,READY_DESCRIPTIVE_ONLY,,0.000000000000,0.000000000000,0.000000000000,0.000000000000
DESCRIPTIVE_ONLY,BIG_LOTTO,biglotto_ts3_markov_4bet_w30,1,recent_750,115000053,108000108,750,3000,biglotto_ts3_markov_4bet_w30:4,6,0.988000000000,0.498666666667,0.090666666667,0.006666666667,9,367,306,63,5,0,0,0,,,,BIG_SPECIAL_ACTUAL_AVAILABLE_PLAYER_MAIN_MATCH_EVALUATED,0.490666666667,not_computed,DESCRIPTIVE_ONLY,READY_DESCRIPTIVE_ONLY,,0.000000000000,0.000000000000,0.000000000000,0.000000000000
DESCRIPTIVE_ONLY,BIG_LOTTO,cold_complement_biglotto,1,recent_50,115000053,115000004,50,50,cold_complement_biglotto:1,6,0.540000000000,0.160000000000,0.040000000000,0.000000000000,23,19,6,2,0,0,0,0,,,,BIG_SPECIAL_ACTUAL_AVAILABLE_PLAYER_MAIN_MATCH_EVALUATED,0.060000000000,not_computed,DESCRIPTIVE_ONLY,READY_DESCRIPTIVE_ONLY,,0.000000000000,0.000000000000,0.000000000000,0.000000000000
DESCRIPTIVE_ONLY,BIG_LOTTO,cold_complement_biglotto,1,recent_300,115000053,112000106,300,300,cold_complement_biglotto:1,6,0.590000000000,0.156666666667,0.023333333333,0.000000000000,123,130,40,7,0,0,0,0,,,,BIG_SPECIAL_ACTUAL_AVAILABLE_PLAYER_MAIN_MATCH_EVALUATED,0.096666666667,not_computed,DESCRIPTIVE_ONLY,READY_DESCRIPTIVE_ONLY,,0.000000000000,0.000000000000,0.000000000000,0.000000000000
DESCRIPTIVE_ONLY,BIG_LOTTO,cold_complement_biglotto,1,recent_750,115000053,108000108,750,750,cold_complement_biglotto:1,6,0.590666666667,0.168000000000,0.017333333333,0.000000000000,307,317,113,13,0,0,0,0,,,,BIG_SPECIAL_ACTUAL_AVAILABLE_PLAYER_MAIN_MATCH_EVALUATED,0.116000000000,not_computed,DESCRIPTIVE_ONLY,READY_DESCRIPTIVE_ONLY,,0.000000000000,0.000000000000,0.000000000000,0.000000000000
DESCRIPTIVE_ONLY,BIG_LOTTO,coldpool15_biglotto,1,recent_50,115000053,115000004,50,50,coldpool15_biglotto:1,6,0.540000000000,0.160000000000,0.040000000000,0.000000000000,23,19,6,2,0,0,0,0,,,,BIG_SPECIAL_ACTUAL_AVAILABLE_PLAYER_MAIN_MATCH_EVALUATED,0.060000000000,not_computed,DESCRIPTIVE_ONLY,READY_DESCRIPTIVE_ONLY,,0.000000000000,0.000000000000,0.000000000000,0.000000000000
DESCRIPTIVE_ONLY,BIG_LOTTO,coldpool15_biglotto,1,recent_300,115000053,112000106,300,300,coldpool15_biglotto:1,6,0.590000000000,0.156666666667,0.023333333333,0.000000000000,123,130,40,7,0,0,0,0,,,,BIG_SPECIAL_ACTUAL_AVAILABLE_PLAYER_MAIN_MATCH_EVALUATED,0.096666666667,not_computed,DESCRIPTIVE_ONLY,READY_DESCRIPTIVE_ONLY,,0.000000000000,0.000000000000,0.000000000000,0.000000000000
DESCRIPTIVE_ONLY,BIG_LOTTO,coldpool15_biglotto,1,recent_750,115000053,108000108,750,750,coldpool15_biglotto:1,6,0.590666666667,0.168000000000,0.017333333333,0.000000000000,307,317,113,13,0,0,0,0,,,,BIG_SPECIAL_ACTUAL_AVAILABLE_PLAYER_MAIN_MATCH_EVALUATED,0.116000000000,not_computed,DESCRIPTIVE_ONLY,READY_DESCRIPTIVE_ONLY,,0.000000000000,0.000000000000,0.000000000000,0.000000000000
