rank,strategy_id,effective_strategy_id,strategy_name,governance_status,independent_algorithm_id,equivalence_group,ranking_group,ticket_count,native_ticket_count,constructed_ticket_count,evaluated_draws,common_window_draws,replicates,complete_portfolios,completion_rate,m4plus_hits,m4plus_rate,confidence_interval_95,random_m4plus_rate_same_ticket_count,random_baseline_ticket_count,random_baseline_strategy_id,paired_difference_vs_random,paired_interval_95,credible_random_advantage,runtime_seconds,total_ticket_evaluations,nested_prefix_supported,nested_prefix_failure_reason,governance_note
1,history::lottery_api/models/core_satellite.py,history::lottery_api/models/core_satellite.py,core_satellite,CANDIDATE,history::lottery_api/models/core_satellite.py,core_satellite_family,native,20,20.0,0.0,2025,2025,10,20235,0.9992592592592593,360,0.017790956263899184,"[0.016005486968,0.019610425240]",0.02034567901234568,20,baseline::uniform_random_20,-0.0025569272976680387,"[-0.005272976680,0.000010973937]",False,6.662659,404700,True,,Historical comparison only; no promotion and no future-probability claim.
2,history::lottery_api/models/zone_split.py,history::lottery_api/models/zone_split.py,zone_split,CANDIDATE,history::lottery_api/models/zone_split.py,zone_split_family,native,20,20.0,0.0,2025,2025,10,20250,1.0,314,0.015506172839506173,"[0.010716049383,0.020888888889]",0.02034567901234568,20,baseline::uniform_random_20,-0.004839506172839508,"[-0.010074074074,0.000493827160]",False,5.414104,405000,True,,Historical comparison only; no promotion and no future-probability claim.
