strategy_id,effective_strategy_id,independent_algorithm_id,equivalence_group,from_ticket_count,to_ticket_count,evaluated_draws,complete_portfolios,incremental_m4plus_hits,incremental_m4plus_rate,incremental_interval_95,random_incremental_m4plus_hits,random_incremental_m4plus_rate,random_incremental_interval_95,incremental_difference_vs_random,incremental_difference_interval_95,paired_p_value
acb_hot_fourier_3bet_biglotto,acb_hot_fourier_3bet_biglotto@sp20_v1,acb_hot_fourier_3bet_biglotto,,15,20,2025,2025,5,0.0024691358024691358,"[0.001055114140,0.005767232062]",102,0.005037037037037037,"[0.004098765432,0.006074074074]",-0.002567901234567901,"[-0.004839506173,-0.000049382716]",0.9857144502571059
apriori_3bet_biglotto,apriori_3bet_biglotto@sp20_v1,apriori_3bet_biglotto,,15,20,2025,2025,6,0.002962962962962963,"[0.001358638256,0.006449492217]",102,0.005037037037037037,"[0.004098765432,0.006074074074]",-0.002074074074074074,"[-0.004592592593,0.000691358025]",0.9455973634836984
bet2_fourier_expansion_biglotto@p42_p280_frozen_code,registry::bet2_fourier_expansion_biglotto@sp20_v1,bet2_fourier_expansion_biglotto@p42_p280_frozen_code,,15,20,2025,2025,4,0.0019753086419753087,"[0.000768418781,0.005068143149]",102,0.005037037037037037,"[0.004098765432,0.006074074074]",-0.0030617283950617287,"[-0.005037037037,-0.000740740741]",0.9991290345884304
biglotto_10bet_combined,biglotto_10bet_combined@sp20_v1,biglotto_10bet_combined,,15,20,2025,2025,8,0.003950617283950617,"[0.002003190075,0.007776508942]",102,0.005037037037037037,"[0.004098765432,0.006074074074]",-0.00108641975308642,"[-0.003703703704,0.002172839506]",0.7726103088125692
biglotto_5bet_orthogonal,biglotto_5bet_orthogonal@sp20_v1,biglotto_5bet_orthogonal,,15,20,2025,2025,8,0.003950617283950617,"[0.002003190075,0.007776508942]",102,0.005037037037037037,"[0.004098765432,0.006074074074]",-0.00108641975308642,"[-0.003753086420,0.001925925926]",0.7726103088125694
biglotto_deviation_2bet,registry::biglotto_deviation_2bet@sp20_v1,biglotto_deviation_2bet,,15,20,2025,2025,7,0.0034567901234567903,"[0.001675475889,0.007118438856]",102,0.005037037037037037,"[0.004098765432,0.006074074074]",-0.0015802469135802473,"[-0.004049382716,0.001382716049]",0.872972444107727
biglotto_echo_aware_3bet,registry::biglotto_echo_aware_3bet@sp20_v1,biglotto_echo_aware_3bet,,15,20,2025,2025,13,0.006419753086419753,"[0.003755604476,0.010953015900]",102,0.005037037037037037,"[0.004098765432,0.006074074074]",0.0013827160493827158,"[-0.002024691358,0.005283950617]",0.23941851793890306
biglotto_p0_2bet,biglotto_p0_2bet@sp20_v1,biglotto_p0_2bet,,15,20,2025,2025,5,0.0024691358024691358,"[0.001055114140,0.005767232062]",102,0.005037037037037037,"[0.004098765432,0.006074074074]",-0.002567901234567901,"[-0.004790123457,-0.000148148148]",0.9857144502571057
biglotto_triple_strike,registry::biglotto_triple_strike@sp20_v1,biglotto_triple_strike,,15,20,2025,2025,13,0.006419753086419753,"[0.003755604476,0.010953015900]",102,0.005037037037037037,"[0.004098765432,0.006074074074]",0.0013827160493827158,"[-0.001925925926,0.005530864198]",0.2361857987630706
biglotto_ts3_acb_4bet,biglotto_ts3_acb_4bet@sp20_v1,biglotto_ts3_acb_4bet,ts3_acb_aliases,15,20,2025,2025,12,0.005925925925925926,"[0.003393140346,0.010329695758]",102,0.005037037037037037,"[0.004098765432,0.006074074074]",0.0008888888888888886,"[-0.002419753086,0.004938271605]",0.3224196420973642
