strategy_id,effective_strategy_id,independent_algorithm_id,equivalence_group,from_ticket_count,to_ticket_count,evaluated_draws,complete_portfolios,incremental_m4plus_hits,incremental_m4plus_rate,incremental_interval_95,random_incremental_m4plus_hits,random_incremental_m4plus_rate,random_incremental_interval_95,incremental_difference_vs_random,incremental_difference_interval_95,paired_p_value
history::lottery_api/models/social_wisdom_predictor.py,history::lottery_api/models/social_wisdom_predictor.py@sp20_v1,history::lottery_api/models/social_wisdom_predictor.py,social_wisdom_family,10,20,2025,20250,198,0.009777777777777778,"[0.008395061728,0.011209876543]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",-0.00019753086419753088,"[-0.002123456790,0.001728395062]",0.5976942568096548
history::lottery_api/models/zone_split.py,history::lottery_api/models/zone_split.py,history::lottery_api/models/zone_split.py,zone_split_family,10,20,2025,20250,182,0.008987654320987654,"[0.005481481481,0.012790123457]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",-0.0009876543209876548,"[-0.004740740741,0.003209876543]",0.692358382539441
hot_stop_rebound_biglotto,hot_stop_rebound_biglotto@sp20_v1,hot_stop_rebound_biglotto,,10,20,2025,2025,17,0.008395061728395062,"[0.005248085737,0.013403671726]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",-0.0015802469135802475,"[-0.005629629630,0.002814814815]",0.7738696803999153
markov_2bet_biglotto,registry::markov_2bet_biglotto@sp20_v1,markov_2bet_biglotto,,10,20,2025,2025,22,0.010864197530864197,"[0.007185472653,0.016395206169]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",0.0008888888888888884,"[-0.003456790123,0.005876543210]",0.36523772871582266
markov_repeat_exception_biglotto,markov_repeat_exception_biglotto@sp20_v1,markov_repeat_exception_biglotto,,10,20,2025,2025,17,0.008395061728395062,"[0.005248085737,0.013403671726]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",-0.0015802469135802475,"[-0.005530864198,0.002864197531]",0.7726778312749968
markov_single_biglotto,registry::markov_single_biglotto@sp20_v1,markov_single_biglotto,,10,20,2025,2025,19,0.009382716049382716,"[0.006014952428,0.014608373578]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",-0.0005925925925925931,"[-0.004740740741,0.003802469136]",0.6112951841912909
neighbor_injection_biglotto,neighbor_injection_biglotto@sp20_v1,neighbor_injection_biglotto,,10,20,2025,2025,9,0.0044444444444444444,"[0.002340008962,0.008425474327]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",-0.005530864197530865,"[-0.008345679012,-0.002271604938]",0.9998941798603658
predict_biglotto_echo_2bet,predict_biglotto_echo_2bet@sp20_v1,predict_biglotto_echo_2bet,,10,20,2025,2025,18,0.008888888888888889,"[0.005630033635,0.014007508100]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",-0.0010864197530864202,"[-0.005185185185,0.003308641975]",0.6959506298928252
predict_biglotto_echo_phase2,predict_biglotto_echo_phase2@sp20_v1,predict_biglotto_echo_phase2,,10,20,2025,2025,19,0.009382716049382716,"[0.006014952428,0.014608373578]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",-0.0005925925925925931,"[-0.004888888889,0.004098765432]",0.6112891426724398
predict_biglotto_mixed_3bet,predict_biglotto_mixed_3bet@sp20_v1,predict_biglotto_mixed_3bet,,10,20,2025,2025,18,0.008888888888888889,"[0.005630033635,0.014007508100]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",-0.0010864197530864202,"[-0.005333333333,0.003308641975]",0.695045974856677
predict_biglotto_regime,predict_biglotto_regime@sp20_v1,predict_biglotto_regime,,10,20,2025,2025,22,0.010864197530864197,"[0.007185472653,0.016395206169]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",0.0008888888888888884,"[-0.003506172840,0.005530864198]",0.3641473351476757
ts3_regime_3bet,registry::ts3_regime_3bet@sp20_v1,ts3_regime_3bet,,10,20,2025,2025,16,0.007901234567901235,"[0.004869358197,0.012796614994]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",-0.0020740740740740745,"[-0.005975308642,0.002271604938]",0.8473532434454043
