strategy_id,effective_strategy_id,independent_algorithm_id,equivalence_group,from_ticket_count,to_ticket_count,evaluated_draws,complete_portfolios,incremental_m4plus_hits,incremental_m4plus_rate,incremental_interval_95,random_incremental_m4plus_hits,random_incremental_m4plus_rate,random_incremental_interval_95,incremental_difference_vs_random,incremental_difference_interval_95,paired_p_value
acb_hot_fourier_3bet_biglotto,acb_hot_fourier_3bet_biglotto@sp20_v1,acb_hot_fourier_3bet_biglotto,,10,15,2025,2025,4,0.0019753086419753087,"[0.000768418781,0.005068143149]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",-0.0029629629629629632,"[-0.004987654321,-0.000691358025]",0.9986573393855944
apriori_3bet_biglotto,apriori_3bet_biglotto@sp20_v1,apriori_3bet_biglotto,,10,15,2025,2025,7,0.0034567901234567903,"[0.001675475889,0.007118438856]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",-0.0014814814814814816,"[-0.004000000000,0.001481481481]",0.857728122020078
bet2_fourier_expansion_biglotto@p42_p280_frozen_code,registry::bet2_fourier_expansion_biglotto@sp20_v1,bet2_fourier_expansion_biglotto@p42_p280_frozen_code,,10,15,2025,2025,11,0.005432098765432099,"[0.003035914935,0.009701136898]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",0.0004938271604938268,"[-0.002617283951,0.004000000000]",0.39910503764410393
biglotto_10bet_combined,biglotto_10bet_combined@sp20_v1,biglotto_10bet_combined,,10,15,2025,2025,12,0.005925925925925926,"[0.003393140346,0.010329695758]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",0.0009876543209876541,"[-0.002222222222,0.004691358025]",0.3014781411883245
biglotto_5bet_orthogonal,biglotto_5bet_orthogonal@sp20_v1,biglotto_5bet_orthogonal,,10,15,2025,2025,10,0.0049382716049382715,"[0.002684596342,0.009066671218]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",-2.741291418827547e-19,"[-0.002814814815,0.003506172840]",0.5119064624608943
biglotto_deviation_2bet,registry::biglotto_deviation_2bet@sp20_v1,biglotto_deviation_2bet,,10,15,2025,2025,9,0.0044444444444444444,"[0.002340008962,0.008425474327]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",-0.0004938271604938274,"[-0.003456790123,0.002765432099]",0.6340035175247859
biglotto_echo_aware_3bet,registry::biglotto_echo_aware_3bet@sp20_v1,biglotto_echo_aware_3bet,,10,15,2025,2025,10,0.0049382716049382715,"[0.002684596342,0.009066671218]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",-2.741291418827547e-19,"[-0.002913580247,0.003259259259]",0.5119064624608943
biglotto_p0_2bet,biglotto_p0_2bet@sp20_v1,biglotto_p0_2bet,,10,15,2025,2025,7,0.0034567901234567903,"[0.001675475889,0.007118438856]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",-0.0014814814814814816,"[-0.003950617284,0.001530864198]",0.857728122020078
biglotto_triple_strike,registry::biglotto_triple_strike@sp20_v1,biglotto_triple_strike,,10,15,2025,2025,10,0.0049382716049382715,"[0.002684596342,0.009066671218]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",-2.741291418827547e-19,"[-0.003111111111,0.003407407407]",0.5119064624608943
biglotto_ts3_acb_4bet,biglotto_ts3_acb_4bet@sp20_v1,biglotto_ts3_acb_4bet,ts3_acb_aliases,10,15,2025,2025,10,0.0049382716049382715,"[0.002684596342,0.009066671218]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",-2.741291418827547e-19,"[-0.003012345679,0.003308641975]",0.5119064624608943
biglotto_ts3_markov_4bet_w30,registry::biglotto_ts3_markov_4bet_w30@sp20_v1,biglotto_ts3_markov_4bet_w30,,10,15,2025,2025,11,0.005432098765432099,"[0.003035914935,0.009701136898]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",0.0004938271604938268,"[-0.002666666667,0.004296296296]",0.39995854172445494
biglotto_ts3_markov_freq_5bet,biglotto_ts3_markov_freq_5bet@sp20_v1,biglotto_ts3_markov_freq_5bet,ts3_markov_freq_aliases,10,15,2025,2025,10,0.0049382716049382715,"[0.002684596342,0.009066671218]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",-2.741291418827547e-19,"[-0.002913580247,0.003555555556]",0.5119064624608943
cluster_pivot_biglotto,cluster_pivot_biglotto@sp20_v1,cluster_pivot_biglotto,,10,15,2025,2025,14,0.006913580246913581,"[0.004122756912,0.011571647736]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",0.0019753086419753083,"[-0.001333333333,0.005925925926]",0.15707303261607733
cold_complement_biglotto,registry::cold_complement_biglotto@sp20_v1,cold_complement_biglotto,,10,15,2025,2025,13,0.006419753086419753,"[0.003755604476,0.010953015900]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",0.0014814814814814812,"[-0.001876543210,0.005234567901]",0.22148093980860034
coldpool15_biglotto,registry::coldpool15_biglotto@sp20_v1,coldpool15_biglotto,,10,15,2025,2025,10,0.0049382716049382715,"[0.002684596342,0.009066671218]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",-2.6042268478861696e-19,"[-0.003012345679,0.003308641975]",0.5119993608009736
fourier30_markov30_biglotto,registry::fourier30_markov30_biglotto@sp20_v1,fourier30_markov30_biglotto,,10,15,2025,2025,7,0.0034567901234567903,"[0.001675475889,0.007118438856]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",-0.0014814814814814816,"[-0.004000000000,0.001728395062]",0.8608915519717836
gap_dynamic_threshold_biglotto,gap_dynamic_threshold_biglotto@sp20_v1,gap_dynamic_threshold_biglotto,,10,15,2025,2025,7,0.0034567901234567903,"[0.001675475889,0.007118438856]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",-0.0014814814814814816,"[-0.004049382716,0.001432098765]",0.8577281220200781
history::lottery_api/models/core_satellite.py,history::lottery_api/models/core_satellite.py,history::lottery_api/models/core_satellite.py,core_satellite_family,10,15,2025,20235,96,0.004744255003706449,"[0.003824417010,0.005684499314]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",-0.00019204389574759947,"[-0.001525377229,0.001196159122]",0.6120636306848694
history::lottery_api/models/social_wisdom_predictor.py,history::lottery_api/models/social_wisdom_predictor.py@sp20_v1,history::lottery_api/models/social_wisdom_predictor.py,social_wisdom_family,10,15,2025,20250,94,0.004641975308641975,"[0.003654320988,0.005629629630]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",-0.00029629629629629635,"[-0.001679012346,0.001086419753]",0.6886726594918576
history::lottery_api/models/zone_split.py,history::lottery_api/models/zone_split.py,history::lottery_api/models/zone_split.py,zone_split_family,10,15,2025,20250,81,0.004,"[0.001481481481,0.007012345679]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",-0.0009382716049382719,"[-0.003555555556,0.002172839506]",0.7464932087657863
hot_stop_rebound_biglotto,hot_stop_rebound_biglotto@sp20_v1,hot_stop_rebound_biglotto,,10,15,2025,2025,6,0.002962962962962963,"[0.001358638256,0.006449492217]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",-0.001975308641975309,"[-0.004345679012,0.000938271605]",0.9394832253345297
markov_2bet_biglotto,registry::markov_2bet_biglotto@sp20_v1,markov_2bet_biglotto,,10,15,2025,2025,10,0.0049382716049382715,"[0.002684596342,0.009066671218]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",-2.741291418827547e-19,"[-0.003012345679,0.003407407407]",0.5119064624608943
markov_repeat_exception_biglotto,markov_repeat_exception_biglotto@sp20_v1,markov_repeat_exception_biglotto,,10,15,2025,2025,10,0.0049382716049382715,"[0.002684596342,0.009066671218]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",-2.741291418827547e-19,"[-0.002962962963,0.003456790123]",0.5119064624608944
markov_single_biglotto,registry::markov_single_biglotto@sp20_v1,markov_single_biglotto,,10,15,2025,2025,8,0.003950617283950617,"[0.002003190075,0.007776508942]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",-0.0009876543209876546,"[-0.003654320988,0.002123456790]",0.754765226589517
neighbor_injection_biglotto,neighbor_injection_biglotto@sp20_v1,neighbor_injection_biglotto,,10,15,2025,2025,4,0.0019753086419753087,"[0.000768418781,0.005068143149]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",-0.0029629629629629632,"[-0.004938271605,-0.000641975309]",0.9989675474397616
predict_biglotto_echo_2bet,predict_biglotto_echo_2bet@sp20_v1,predict_biglotto_echo_2bet,,10,15,2025,2025,11,0.005432098765432099,"[0.003035914935,0.009701136898]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",0.0004938271604938268,"[-0.002617283951,0.003901234568]",0.399105037644104
predict_biglotto_echo_phase2,predict_biglotto_echo_phase2@sp20_v1,predict_biglotto_echo_phase2,,10,15,2025,2025,10,0.0049382716049382715,"[0.002684596342,0.009066671218]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",-2.330097706003415e-19,"[-0.002814814815,0.003160493827]",0.5121952226459427
predict_biglotto_mixed_3bet,predict_biglotto_mixed_3bet@sp20_v1,predict_biglotto_mixed_3bet,,10,15,2025,2025,11,0.005432098765432099,"[0.003035914935,0.009701136898]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",0.0004938271604938268,"[-0.002370370370,0.004000000000]",0.39910503764410404
predict_biglotto_regime,predict_biglotto_regime@sp20_v1,predict_biglotto_regime,,10,15,2025,2025,13,0.006419753086419753,"[0.003755604476,0.010953015900]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",0.0014814814814814812,"[-0.001876543210,0.005234567901]",0.22148093980860034
ts3_regime_3bet,registry::ts3_regime_3bet@sp20_v1,ts3_regime_3bet,,10,15,2025,2025,6,0.002962962962962963,"[0.001358638256,0.006449492217]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",-0.001975308641975309,"[-0.004098765432,0.000691358025]",0.9453267806250906
