rank,strategy_id,effective_strategy_id,independent_algorithm_id,equivalence_group,from_ticket_count,to_ticket_count,evaluated_draws,complete_portfolios,incremental_m4plus_hits,incremental_m4plus_rate,incremental_interval_95,random_incremental_m4plus_hits,random_incremental_m4plus_rate,random_incremental_interval_95,incremental_difference_vs_random,incremental_difference_interval_95,paired_p_value
19,history::lottery_api/models/social_wisdom_predictor.py,history::lottery_api/models/social_wisdom_predictor.py@sp20_v1,history::lottery_api/models/social_wisdom_predictor.py,social_wisdom_family,10,15,2025,20250,94,0.004641975308641975,"[0.003654320988,0.005629629630]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",-0.00029629629629629635,"[-0.001679012346,0.001086419753]",0.6886726594918576
20,biglotto_deviation_2bet,registry::biglotto_deviation_2bet@sp20_v1,biglotto_deviation_2bet,,10,15,2025,2025,9,0.0044444444444444444,"[0.002340008962,0.008425474327]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",-0.0004938271604938274,"[-0.003456790123,0.002765432099]",0.6340035175247859
21,history::lottery_api/models/zone_split.py,history::lottery_api/models/zone_split.py,history::lottery_api/models/zone_split.py,zone_split_family,10,15,2025,20250,81,0.004,"[0.001481481481,0.007012345679]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",-0.0009382716049382719,"[-0.003555555556,0.002172839506]",0.7464932087657863
22,markov_single_biglotto,registry::markov_single_biglotto@sp20_v1,markov_single_biglotto,,10,15,2025,2025,8,0.003950617283950617,"[0.002003190075,0.007776508942]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",-0.0009876543209876546,"[-0.003654320988,0.002123456790]",0.754765226589517
23,apriori_3bet_biglotto,apriori_3bet_biglotto@sp20_v1,apriori_3bet_biglotto,,10,15,2025,2025,7,0.0034567901234567903,"[0.001675475889,0.007118438856]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",-0.0014814814814814816,"[-0.004000000000,0.001481481481]",0.857728122020078
24,biglotto_p0_2bet,biglotto_p0_2bet@sp20_v1,biglotto_p0_2bet,,10,15,2025,2025,7,0.0034567901234567903,"[0.001675475889,0.007118438856]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",-0.0014814814814814816,"[-0.003950617284,0.001530864198]",0.857728122020078
25,fourier30_markov30_biglotto,registry::fourier30_markov30_biglotto@sp20_v1,fourier30_markov30_biglotto,,10,15,2025,2025,7,0.0034567901234567903,"[0.001675475889,0.007118438856]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",-0.0014814814814814816,"[-0.004000000000,0.001728395062]",0.8608915519717836
26,gap_dynamic_threshold_biglotto,gap_dynamic_threshold_biglotto@sp20_v1,gap_dynamic_threshold_biglotto,,10,15,2025,2025,7,0.0034567901234567903,"[0.001675475889,0.007118438856]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",-0.0014814814814814816,"[-0.004049382716,0.001432098765]",0.8577281220200781
27,hot_stop_rebound_biglotto,hot_stop_rebound_biglotto@sp20_v1,hot_stop_rebound_biglotto,,10,15,2025,2025,6,0.002962962962962963,"[0.001358638256,0.006449492217]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",-0.001975308641975309,"[-0.004345679012,0.000938271605]",0.9394832253345297
28,ts3_regime_3bet,registry::ts3_regime_3bet@sp20_v1,ts3_regime_3bet,,10,15,2025,2025,6,0.002962962962962963,"[0.001358638256,0.006449492217]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",-0.001975308641975309,"[-0.004098765432,0.000691358025]",0.9453267806250906
29,acb_hot_fourier_3bet_biglotto,acb_hot_fourier_3bet_biglotto@sp20_v1,acb_hot_fourier_3bet_biglotto,,10,15,2025,2025,4,0.0019753086419753087,"[0.000768418781,0.005068143149]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",-0.0029629629629629632,"[-0.004987654321,-0.000691358025]",0.9986573393855944
30,neighbor_injection_biglotto,neighbor_injection_biglotto@sp20_v1,neighbor_injection_biglotto,,10,15,2025,2025,4,0.0019753086419753087,"[0.000768418781,0.005068143149]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",-0.0029629629629629632,"[-0.004938271605,-0.000641975309]",0.9989675474397616
1,biglotto_echo_aware_3bet,registry::biglotto_echo_aware_3bet@sp20_v1,biglotto_echo_aware_3bet,,10,20,2025,2025,23,0.011358024691358024,"[0.007580326796,0.016986136297]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",0.0013827160493827156,"[-0.003456790123,0.006370370370]",0.2958169482620725
2,biglotto_triple_strike,registry::biglotto_triple_strike@sp20_v1,biglotto_triple_strike,,10,20,2025,2025,23,0.011358024691358024,"[0.007580326796,0.016986136297]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",0.0013827160493827156,"[-0.003209876543,0.006370370370]",0.2958103761637766
3,cold_complement_biglotto,registry::cold_complement_biglotto@sp20_v1,cold_complement_biglotto,,10,20,2025,2025,23,0.011358024691358024,"[0.007580326796,0.016986136297]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",0.0013827160493827156,"[-0.003160493827,0.006419753086]",0.2958103761637766
4,biglotto_ts3_acb_4bet,biglotto_ts3_acb_4bet@sp20_v1,biglotto_ts3_acb_4bet,ts3_acb_aliases,10,20,2025,2025,22,0.010864197530864197,"[0.007185472653,0.016395206169]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",0.0008888888888888884,"[-0.003506172840,0.005925925926]",0.36577562174437556
5,biglotto_ts3_markov_4bet_w30,registry::biglotto_ts3_markov_4bet_w30@sp20_v1,biglotto_ts3_markov_4bet_w30,,10,20,2025,2025,22,0.010864197530864197,"[0.007185472653,0.016395206169]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",0.0008888888888888884,"[-0.003851851852,0.005679012346]",0.36577562174437556
6,cluster_pivot_biglotto,cluster_pivot_biglotto@sp20_v1,cluster_pivot_biglotto,,10,20,2025,2025,22,0.010864197530864197,"[0.007185472653,0.016395206169]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",0.0008888888888888884,"[-0.003555555556,0.005580246914]",0.3646931776283801
7,markov_2bet_biglotto,registry::markov_2bet_biglotto@sp20_v1,markov_2bet_biglotto,,10,20,2025,2025,22,0.010864197530864197,"[0.007185472653,0.016395206169]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",0.0008888888888888884,"[-0.003456790123,0.005876543210]",0.36523772871582266
8,predict_biglotto_regime,predict_biglotto_regime@sp20_v1,predict_biglotto_regime,,10,20,2025,2025,22,0.010864197530864197,"[0.007185472653,0.016395206169]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",0.0008888888888888884,"[-0.003506172840,0.005530864198]",0.3641473351476757
9,biglotto_10bet_combined,biglotto_10bet_combined@sp20_v1,biglotto_10bet_combined,,10,20,2025,2025,20,0.009876543209876543,"[0.006402623495,0.015206486783]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",-9.876543209876595e-05,"[-0.004345679012,0.004592592593]",0.5252915270351052
10,biglotto_ts3_markov_freq_5bet,biglotto_ts3_markov_freq_5bet@sp20_v1,biglotto_ts3_markov_freq_5bet,ts3_markov_freq_aliases,10,20,2025,2025,20,0.009876543209876543,"[0.006402623495,0.015206486783]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",-9.876543209876598e-05,"[-0.004493827160,0.004790123457]",0.5250647292582212
11,history::lottery_api/models/social_wisdom_predictor.py,history::lottery_api/models/social_wisdom_predictor.py@sp20_v1,history::lottery_api/models/social_wisdom_predictor.py,social_wisdom_family,10,20,2025,20250,198,0.009777777777777778,"[0.008395061728,0.011209876543]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",-0.00019753086419753088,"[-0.002123456790,0.001728395062]",0.5976942568096548
12,coldpool15_biglotto,registry::coldpool15_biglotto@sp20_v1,coldpool15_biglotto,,10,20,2025,2025,19,0.009382716049382716,"[0.006014952428,0.014608373578]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",-0.0005925925925925931,"[-0.004839506173,0.004049382716]",0.6102642335029359
13,gap_dynamic_threshold_biglotto,gap_dynamic_threshold_biglotto@sp20_v1,gap_dynamic_threshold_biglotto,,10,20,2025,2025,19,0.009382716049382716,"[0.006014952428,0.014608373578]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",-0.0005925925925925931,"[-0.004790123457,0.004148148148]",0.6112891426724398
14,markov_single_biglotto,registry::markov_single_biglotto@sp20_v1,markov_single_biglotto,,10,20,2025,2025,19,0.009382716049382716,"[0.006014952428,0.014608373578]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",-0.0005925925925925931,"[-0.004740740741,0.003802469136]",0.6112951841912909
15,predict_biglotto_echo_phase2,predict_biglotto_echo_phase2@sp20_v1,predict_biglotto_echo_phase2,,10,20,2025,2025,19,0.009382716049382716,"[0.006014952428,0.014608373578]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",-0.0005925925925925931,"[-0.004888888889,0.004098765432]",0.6112891426724398
16,history::lottery_api/models/zone_split.py,history::lottery_api/models/zone_split.py,history::lottery_api/models/zone_split.py,zone_split_family,10,20,2025,20250,182,0.008987654320987654,"[0.005481481481,0.012790123457]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",-0.0009876543209876548,"[-0.004740740741,0.003209876543]",0.692358382539441
17,biglotto_5bet_orthogonal,biglotto_5bet_orthogonal@sp20_v1,biglotto_5bet_orthogonal,,10,20,2025,2025,18,0.008888888888888889,"[0.005630033635,0.014007508100]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",-0.0010864197530864202,"[-0.005086419753,0.003654320988]",0.6941540550416703
18,predict_biglotto_echo_2bet,predict_biglotto_echo_2bet@sp20_v1,predict_biglotto_echo_2bet,,10,20,2025,2025,18,0.008888888888888889,"[0.005630033635,0.014007508100]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",-0.0010864197530864202,"[-0.005185185185,0.003308641975]",0.6959506298928252
19,predict_biglotto_mixed_3bet,predict_biglotto_mixed_3bet@sp20_v1,predict_biglotto_mixed_3bet,,10,20,2025,2025,18,0.008888888888888889,"[0.005630033635,0.014007508100]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",-0.0010864197530864202,"[-0.005333333333,0.003308641975]",0.695045974856677
20,hot_stop_rebound_biglotto,hot_stop_rebound_biglotto@sp20_v1,hot_stop_rebound_biglotto,,10,20,2025,2025,17,0.008395061728395062,"[0.005248085737,0.013403671726]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",-0.0015802469135802475,"[-0.005629629630,0.002814814815]",0.7738696803999153
21,markov_repeat_exception_biglotto,markov_repeat_exception_biglotto@sp20_v1,markov_repeat_exception_biglotto,,10,20,2025,2025,17,0.008395061728395062,"[0.005248085737,0.013403671726]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",-0.0015802469135802475,"[-0.005530864198,0.002864197531]",0.7726778312749968
22,history::lottery_api/models/core_satellite.py,history::lottery_api/models/core_satellite.py,history::lottery_api/models/core_satellite.py,core_satellite_family,10,20,2025,20235,165,0.00815418828762046,"[0.006919067215,0.009486968450]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",-0.0018216735253772291,"[-0.003786008230,0.000010973937]",0.9712386381487924
23,biglotto_deviation_2bet,registry::biglotto_deviation_2bet@sp20_v1,biglotto_deviation_2bet,,10,20,2025,2025,16,0.007901234567901235,"[0.004869358197,0.012796614994]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",-0.0020740740740740745,"[-0.005925925926,0.002074074074]",0.845964727626037
24,ts3_regime_3bet,registry::ts3_regime_3bet@sp20_v1,ts3_regime_3bet,,10,20,2025,2025,16,0.007901234567901235,"[0.004869358197,0.012796614994]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",-0.0020740740740740745,"[-0.005975308642,0.002271604938]",0.8473532434454043
25,bet2_fourier_expansion_biglotto@p42_p280_frozen_code,registry::bet2_fourier_expansion_biglotto@sp20_v1,bet2_fourier_expansion_biglotto@p42_p280_frozen_code,,10,20,2025,2025,15,0.007407407407407408,"[0.004494137788,0.012186051132]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",-0.0025679012345679016,"[-0.006320987654,0.001629629630]",0.8999253739817202
26,fourier30_markov30_biglotto,registry::fourier30_markov30_biglotto@sp20_v1,fourier30_markov30_biglotto,,10,20,2025,2025,14,0.006913580246913581,"[0.004122756912,0.011571647736]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",-0.003061728395061729,"[-0.006716049383,0.000790123457]",0.9424141542344571
27,apriori_3bet_biglotto,apriori_3bet_biglotto@sp20_v1,apriori_3bet_biglotto,,10,20,2025,2025,13,0.006419753086419753,"[0.003755604476,0.010953015900]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",-0.003555555555555556,"[-0.007259259259,0.000345679012]",0.9701055302904081
28,biglotto_p0_2bet,biglotto_p0_2bet@sp20_v1,biglotto_p0_2bet,,10,20,2025,2025,12,0.005925925925925926,"[0.003393140346,0.010329695758]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",-0.004049382716049384,"[-0.007555555556,-0.000296296296]",0.987173699772318
