rank,strategy_id,effective_strategy_id,independent_algorithm_id,equivalence_group,from_ticket_count,to_ticket_count,evaluated_draws,complete_portfolios,incremental_m4plus_hits,incremental_m4plus_rate,incremental_interval_95,random_incremental_m4plus_hits,random_incremental_m4plus_rate,random_incremental_interval_95,incremental_difference_vs_random,incremental_difference_interval_95,paired_p_value
19,cluster_pivot_biglotto,cluster_pivot_biglotto@sp20_v1,cluster_pivot_biglotto,,15,20,2025,2025,8,0.003950617283950617,"[0.002003190075,0.007776508942]",102,0.005037037037037037,"[0.004098765432,0.006074074074]",-0.00108641975308642,"[-0.003753086420,0.001975308642]",0.7726103088125694
20,biglotto_deviation_2bet,registry::biglotto_deviation_2bet@sp20_v1,biglotto_deviation_2bet,,15,20,2025,2025,7,0.0034567901234567903,"[0.001675475889,0.007118438856]",102,0.005037037037037037,"[0.004098765432,0.006074074074]",-0.0015802469135802473,"[-0.004049382716,0.001382716049]",0.872972444107727
21,fourier30_markov30_biglotto,registry::fourier30_markov30_biglotto@sp20_v1,fourier30_markov30_biglotto,,15,20,2025,2025,7,0.0034567901234567903,"[0.001675475889,0.007118438856]",102,0.005037037037037037,"[0.004098765432,0.006074074074]",-0.0015802469135802473,"[-0.004049382716,0.001432098765]",0.872972444107727
22,markov_repeat_exception_biglotto,markov_repeat_exception_biglotto@sp20_v1,markov_repeat_exception_biglotto,,15,20,2025,2025,7,0.0034567901234567903,"[0.001675475889,0.007118438856]",102,0.005037037037037037,"[0.004098765432,0.006074074074]",-0.0015802469135802473,"[-0.004197530864,0.001432098765]",0.8729724441077272
23,predict_biglotto_echo_2bet,predict_biglotto_echo_2bet@sp20_v1,predict_biglotto_echo_2bet,,15,20,2025,2025,7,0.0034567901234567903,"[0.001675475889,0.007118438856]",102,0.005037037037037037,"[0.004098765432,0.006074074074]",-0.0015802469135802473,"[-0.004246913580,0.001283950617]",0.872972444107727
24,predict_biglotto_mixed_3bet,predict_biglotto_mixed_3bet@sp20_v1,predict_biglotto_mixed_3bet,,15,20,2025,2025,7,0.0034567901234567903,"[0.001675475889,0.007118438856]",102,0.005037037037037037,"[0.004098765432,0.006074074074]",-0.0015802469135802473,"[-0.004098765432,0.001382716049]",0.872972444107727
25,history::lottery_api/models/core_satellite.py,history::lottery_api/models/core_satellite.py,history::lottery_api/models/core_satellite.py,core_satellite_family,15,20,2025,20235,69,0.0034099332839140103,"[0.002666666667,0.004197530864]",102,0.005037037037037037,"[0.004098765432,0.006074074074]",-0.0016296296296296297,"[-0.002913580247,-0.000395061728]",0.9952539751387217
26,apriori_3bet_biglotto,apriori_3bet_biglotto@sp20_v1,apriori_3bet_biglotto,,15,20,2025,2025,6,0.002962962962962963,"[0.001358638256,0.006449492217]",102,0.005037037037037037,"[0.004098765432,0.006074074074]",-0.002074074074074074,"[-0.004592592593,0.000691358025]",0.9455973634836984
27,acb_hot_fourier_3bet_biglotto,acb_hot_fourier_3bet_biglotto@sp20_v1,acb_hot_fourier_3bet_biglotto,,15,20,2025,2025,5,0.0024691358024691358,"[0.001055114140,0.005767232062]",102,0.005037037037037037,"[0.004098765432,0.006074074074]",-0.002567901234567901,"[-0.004839506173,-0.000049382716]",0.9857144502571059
28,biglotto_p0_2bet,biglotto_p0_2bet@sp20_v1,biglotto_p0_2bet,,15,20,2025,2025,5,0.0024691358024691358,"[0.001055114140,0.005767232062]",102,0.005037037037037037,"[0.004098765432,0.006074074074]",-0.002567901234567901,"[-0.004790123457,-0.000148148148]",0.9857144502571057
29,neighbor_injection_biglotto,neighbor_injection_biglotto@sp20_v1,neighbor_injection_biglotto,,15,20,2025,2025,5,0.0024691358024691358,"[0.001055114140,0.005767232062]",102,0.005037037037037037,"[0.004098765432,0.006074074074]",-0.002567901234567901,"[-0.004790123457,0.000049382716]",0.9857144502571062
30,bet2_fourier_expansion_biglotto@p42_p280_frozen_code,registry::bet2_fourier_expansion_biglotto@sp20_v1,bet2_fourier_expansion_biglotto@p42_p280_frozen_code,,15,20,2025,2025,4,0.0019753086419753087,"[0.000768418781,0.005068143149]",102,0.005037037037037037,"[0.004098765432,0.006074074074]",-0.0030617283950617287,"[-0.005037037037,-0.000740740741]",0.9991290345884304
